Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
ir3,4,4,0,78,0,3,0,15
ir3,4,5,0,79,0,0,0,17
ir3,4,6,0,79,0,0,0,17
ir3,4,7,73,10,0,0,0,13
ir3,4,8,73,10,0,0,0,13
ir3,4,9,73,10,0,0,0,13
ir3,4,10,73,10,0,0,0,13
particle_filter,1,1,22,19,2,0,0,0
particle_filter,1,2,23,18,2,0,0,0
particle_filter,1,3,23,18,2,0,0,0
particle_filter,1,4,23,18,2,0,0,0
particle_filter,1,5,23,18,2,0,0,0
particle_filter,1,6,23,18,2,0,0,0
particle_filter,1,7,25,16,2,0,0,0
particle_filter,1,8,30,11,2,0,0,0
particle_filter,1,9,31,10,2,0,0,0
particle_filter,1,10,31,10,2,0,0,0
particle_filter,2,1,22,19,2,0,0,0
particle_filter,2,2,23,18,2,0,0,0
particle_filter,2,3,23,18,2,0,0,0
particle_filter,2,4,23,18,2,0,0,0
particle_filter,2,5,23,18,2,0,0,0
particle_filter,2,6,23,18,2,0,0,0
particle_filter,2,7,25,16,2,0,0,0
particle_filter,2,8,30,11,2,0,0,0
particle_filter,2,9,31,10,2,0,0,0
particle_filter,2,10,31,10,2,0,0,0
particle_filter,3,1,22,4,0,17,0,0
particle_filter,3,2,23,11,0,9,0,0
particle_filter,3,3,23,11,0,9,0,0
particle_filter,3,4,23,11,0,9,0,0
particle_filter,3,5,23,11,0,9,0,0
particle_filter,3,6,23,11,0,9,0,0
particle_filter,3,7,25,9,0,9,0,0
particle_filter,3,8,30,4,0,9,0,0
particle_filter,3,9,31,3,0,9,0,0
particle_filter,3,10,31,3,0,9,0,0
particle_filter,4,1,22,4,0,17,0,0
particle_filter,4,2,23,11,0,9,0,0
particle_filter,4,3,23,11,0,9,0,0
particle_filter,4,4,23,11,0,9,0,0
particle_filter,4,5,23,11,0,9,0,0
particle_filter,4,6,23,11,0,9,0,0
particle_filter,4,7,25,9,0,9,0,0
particle_filter,4,8,30,4,0,9,0,0
particle_filter,4,9,31,3,0,9,0,0
particle_filter,4,10,31,3,0,9,0,0
rk4,1,1,0,61,0,0,5,0
rk4,1,2,0,61,0,0,5,0
rk4,1,3,0,61,0,0,5,0
rk4,1,4,0,61,0,0,5,0
rk4,1,5,0,61,0,0,5,0
rk4,1,6,39,22,0,0,5,0
rk4,1,7,43,18,0,0,5,0
rk4,1,8,43,18,0,0,5,0
rk4,1,9,43,18,0,0,5,0
rk4,1,10,43,18,0,0,5,0
rk4,2,1,0,61,0,0,0,5
rk4,2,2,0,61,0,0,0,5
rk4,2,3,0,61,0,0,0,5
rk4,2,4,0,61,0,0,0,5
rk4,2,5,0,61,0,0,0,5
rk4,2,6,39,22,0,0,0,5
rk4,2,7,43,18,0,0,0,5
rk4,2,8,43,18,0,0,0,5
rk4,2,9,43,18,0,0,0,5
rk4,2,10,43,18,0,0,0,5
rk4,3,1,0,40,0,4,22,0
rk4,3,2,0,41,0,3,22,0
rk4,3,3,0,44,0,0,22,0
rk4,3,4,0,44,0,0,22,0
rk4,3,5,0,44,0,0,22,0
rk4,3,6,39,5,0,0,22,0
rk4,3,7,43,1,0,0,22,0
rk4,3,8,43,1,0,0,22,0
rk4,3,9,43,1,0,0,22,0
rk4,3,10,43,1,0,0,22,0
rk4,4,1,0,40,0,4,0,22
rk4,4,2,0,41,0,3,0,22
rk4,4,3,0,44,0,0,0,22
rk4,4,4,0,44,0,0,0,22
rk4,4,5,0,44,0,0,0,22
rk4,4,6,39,5,0,0,0,22
rk4,4,7,43,1,0,0,0,22
rk4,4,8,43,1,0,0,0,22
rk4,4,9,43,1,0,0,0,22
rk4,4,10,43,1,0,0,0,22
trapezoidal,1,1,0,67,0,0,7,0
trapezoidal,1,2,0,67,0,0,7,0
trapezoidal,1,3,0,67,0,0,7,0
trapezoidal,1,4,0,67,0,0,7,0
trapezoidal,1,5,0,67,0,0,7,0
trapezoidal,1,6,45,22,0,0,7,0
trapezoidal,1,7,49,18,0,0,7,0
trapezoidal,1,8,49,18,0,0,7,0
trapezoidal,1,9,49,18,0,0,7,0
trapezoidal,1,10,49,18,0,0,7,0
trapezoidal,2,1,0,67,0,0,0,7
trapezoidal,2,2,0,67,0,0,0,7
trapezoidal,2,3,0,67,0,0,0,7
trapezoidal,2,4,0,67,0,0,0,7
trapezoidal,2,5,0,67,0,0,0,7
trapezoidal,2,6,45,22,0,0,0,7
trapezoidal,2,7,49,18,0,0,0,7
trapezoidal,2,8,49,18,0,0,0,7
trapezoidal,2,9,49,18,0,0,0,7
trapezoidal,2,10,49,18,0,0,0,7
trapezoidal,3,1,0,46,0,6,22,0
trapezoidal,3,2,0,46,0,6,22,0
trapezoidal,3,3,0,50,0,0,24,0
trapezoidal,3,4,0,50,0,0,24,0
trapezoidal,3,5,0,50,0,0,24,0
trapezoidal,3,6,45,5,0,0,24,0
trapezoidal,3,7,49,3,0,0,22,0
trapezoidal,3,8,49,3,0,0,22,0
trapezoidal,3,9,49,3,0,0,22,0
trapezoidal,3,10,49,3,0,0,22,0
trapezoidal,4,1,0,46,0,6,0,22
trapezoidal,4,2,0,46,0,6,0,22
trapezoidal,4,3,0,50,0,0,0,24
trapezoidal,4,4,0,50,0,0,0,24
trapezoidal,4,5,0,50,0,0,0,24
trapezoidal,4,6,45,5,0,0,0,24
trapezoidal,4,7,49,3,0,0,0,22
trapezoidal,4,8,49,3,0,0,0,22
trapezoidal,4,9,49,3,0,0,0,22
trapezoidal,4,10,49,3,0,0,0,22
cubic_spline,1,1,0,68,12,0,0,0
cubic_spline,1,2,0,68,12,0,0,0
cubic_spline,1,3,0,70,10,0,0,0
cubic_spline,1,4,0,70,10,0,0,0
cubic_spline,1,5,55,15,10,0,0,0
cubic_spline,1,6,56,14,10,0,0,0
cubic_spline,1,7,61,9,10,0,0,0
cubic_spline,1,8,63,7,10,0,0,0
cubic_spline,1,9,63,7,10,0,0,0
cubic_spline,1,10,64,6,10,0,0,0
cubic_spline,2,1,0,68,12,0,0,0
cubic_spline,2,2,0,68,12,0,0,0
cubic_spline,2,3,0,70,10,0,0,0
cubic_spline,2,4,0,70,10,0,0,0
cubic_spline,2,5,55,15,10,0,0,0
cubic_spline,2,6,56,14,10,0,0,0
cubic_spline,2,7,61,9,10,0,0,0
cubic_spline,2,8,63,7,10,0,0,0
cubic_spline,2,9,63,7,10,0,0,0
cubic_spline,2,10,64,6,10,0,0,0
cubic_spline,3,1,0,57,0,23,0,0
cubic_spline,3,2,0,62,0,18,0,0
cubic_spline,3,3,0,64,0,16,0,0
cubic_spline,3,4,0,64,0,16,0,0
cubic_spline,3,5,55,10,0,15,0,0
cubic_spline,3,6,56,9,0,15,0,0
cubic_spline,3,7,61,4,0,15,0,0
cubic_spline,3,8,63,2,0,15,0,0
cubic_spline,3,9,63,2,0,15,0,0
cubic_spline,3,10,64,1,0,15,0,0
cubic_spline,4,1,0,57,0,23,0,0
cubic_spline,4,2,0,62,0,18,0,0
cubic_spline,4,3,0,64,0,16,0,0
cubic_spline,4,4,0,64,0,16,0,0
cubic_spline,4,5,55,10,0,15,0,0
cubic_spline,4,6,56,9,0,15,0,0
cubic_spline,4,7,61,4,0,15,0,0
cubic_spline,4,8,63,2,0,15,0,0
cubic_spline,4,9,63,2,0,15,0,0
cubic_spline,4,10,64,1,0,15,0,0
lagrange,1,1,0,32,0,0,10,0
lagrange,1,2,0,32,0,0,10,0
lagrange,1,3,20,12,0,0,10,0
lagrange,1,4,21,11,0,0,10,0
lagrange,1,5,24,8,0,0,10,0
lagrange,1,6,24,8,0,0,10,0
lagrange,1,7,24,8,0,0,10,0
lagrange,1,8,25,7,0,0,10,0
lagrange,1,9,25,7,0,0,10,0
lagrange,1,10,25,7,0,0,10,0
lagrange,2,1,0,32,0,0,0,10
lagrange,2,2,0,32,0,0,0,10
lagrange,2,3,20,12,0,0,0,10
lagrange,2,4,21,11,0,0,0,10
lagrange,2,5,24,8,0,0,0,10
lagrange,2,6,24,8,0,0,0,10
lagrange,2,7,24,8,0,0,0,10
lagrange,2,8,25,7,0,0,0,10
lagrange,2,9,25,7,0,0,0,10
lagrange,2,10,25,7,0,0,0,10
lagrange,3,1,0,25,0,2,15,0
lagrange,3,2,0,25,0,2,15,0
lagrange,3,3,20,7,0,0,15,0
lagrange,3,4,21,5,0,1,15,0
lagrange,3,5,24,2,0,1,15,0
lagrange,3,6,24,2,0,1,15,0
lagrange,3,7,24,2,0,1,15,0
lagrange,3,8,25,1,0,1,15,0
lagrange,3,9,25,1,0,1,15,0
lagrange,3,10,25,1,0,1,15,0
lagrange,4,1,0,25,0,2,0,15
lagrange,4,2,0,25,0,2,0,15
lagrange,4,3,20,7,0,0,0,15
lagrange,4,4,21,5,0,1,0,15
lagrange,4,5,24,2,0,1,0,15
lagrange,4,6,24,2,0,1,0,15
lagrange,4,7,24,2,0,1,0,15
lagrange,4,8,25,1,0,1,0,15
lagrange,4,9,25,1,0,1,0,15
lagrange,4,10,25,1,0,1,0,15
knn,1,1,0,9,0,0,2,0
knn,1,2,0,9,0,0,2,0
knn,1,3,0,9,1,0,1,0
knn,1,4,0,9,1,0,1,0
knn,1,5,0,9,1,0,1,0
knn,1,6,0,9,1,0,1,0
knn,1,7,0,9,1,0,1,0
knn,1,8,7,3,0,0,1,0
knn,1,9,7,3,0,0,1,0
knn,1,10,7,3,0,0,1,0
knn,2,1,0,9,1,0,0,1
knn,2,2,0,9,1,0,0,1
knn,2,3,0,9,1,0,0,1
knn,2,4,0,9,1,0,0,1
knn,2,5,0,9,1,0,0,1
knn,2,6,0,9,1,0,0,1
knn,2,7,0,9,1,0,0,1
knn,2,8,7,3,0,0,0,1
knn,2,9,7,3,0,0,0,1
knn,2,10,7,3,0,0,0,1
knn,3,1,0,6,0,0,5,0
knn,3,2,0,6,0,0,5,0
knn,3,3,0,8,0,0,3,0
knn,3,4,0,8,0,0,3,0
knn,3,5,0,8,0,0,3,0
knn,3,6,0,8,0,0,3,0
knn,3,7,0,8,0,0,3,0
knn,3,8,7,1,0,0,3,0
knn,3,9,7,1,0,0,3,0
knn,3,10,7,1,0,0,3,0
knn,4,1,0,6,0,0,0,5
knn,4,2,0,6,0,0,0,5
knn,4,3,0,8,0,1,0,2
knn,4,4,0,8,0,1,0,2
knn,4,5,0,8,0,1,0,2
knn,4,6,0,8,0,1,0,2
knn,4,7,0,8,0,1,0,2
knn,4,8,7,1,0,1,0,2
knn,4,9,7,1,0,1,0,2
knn,4,10,7,1,0,1,0,2
simpson,1,1,0,73,0,0,5,0
simpson,1,2,0,73,0,0,5,0
simpson,1,3,0,73,0,0,5,0
simpson,1,4,0,73,0,0,5,0
simpson,1,5,0,73,0,0,5,0
simpson,1,6,53,20,0,0,5,0
simpson,1,7,57,16,0,0,5,0
simpson,1,8,57,16,0,0,5,0
simpson,1,9,57,16,0,0,5,0
simpson,1,10,57,16,0,0,5,0
simpson,2,1,0,73,0,0,0,5
simpson,2,2,0,73,0,0,0,5
simpson,2,3,0,73,0,0,0,5
simpson,2,4,0,73,0,0,0,5
simpson,2,5,0,73,0,0,0,5
simpson,2,6,53,20,0,0,0,5
simpson,2,7,57,16,0,0,0,5
simpson,2,8,57,16,0,0,0,5
simpson,2,9,57,16,0,0,0,5
simpson,2,10,57,16,0,0,0,5
simpson,3,1,0,54,0,4,20,0
simpson,3,2,0,55,0,3,20,0
simpson,3,3,0,58,0,0,20,0
simpson,3,4,0,58,0,0,20,0
simpson,3,5,0,58,0,0,20,0
simpson,3,6,53,5,0,0,20,0
simpson,3,7,57,1,0,0,20,0
simpson,3,8,57,1,0,0,20,0
simpson,3,9,57,1,0,0,20,0
simpson,3,10,57,1,0,0,20,0
simpson,4,1,0,54,0,4,0,20
simpson,4,2,0,55,0,3,0,20
simpson,4,3,0,58,0,0,0,20
simpson,4,4,0,58,0,0,0,20
simpson,4,5,0,58,0,0,0,20
simpson,4,6,53,5,0,0,0,20
simpson,4,7,57,1,0,0,0,20
simpson,4,8,57,1,0,0,0,20
simpson,4,9,57,1,0,0,0,20
simpson,4,10,57,1,0,0,0,20
randomforest,1,1,0,44,0,0,3,0
randomforest,1,2,0,44,2,0,1,0
randomforest,1,3,0,44,2,0,1,0
randomforest,1,4,0,45,1,0,1,0
randomforest,1,5,0,46,0,0,1,0
randomforest,1,6,0,46,0,0,1,0
randomforest,1,7,15,31,0,0,1,0
randomforest,1,8,23,23,0,0,1,0
randomforest,1,9,24,22,0,0,1,0
randomforest,1,10,24,22,0,0,1,0
randomforest,2,1,0,44,2,0,0,1
randomforest,2,2,0,44,3,0,0,0
randomforest,2,3,0,44,3,0,0,0
randomforest,2,4,0,45,2,0,0,0
randomforest,2,5,0,46,1,0,0,0
randomforest,2,6,0,46,1,0,0,0
randomforest,2,7,15,31,1,0,0,0
randomforest,2,8,23,23,1,0,0,0
randomforest,2,9,24,22,1,0,0,0
randomforest,2,10,24,22,1,0,0,0
randomforest,3,1,0,19,0,13,15,0
randomforest,3,2,0,24,0,14,9,0
randomforest,3,3,0,29,0,9,9,0
randomforest,3,4,0,34,0,5,8,0
randomforest,3,5,0,34,0,5,8,0
randomforest,3,6,0,34,0,5,8,0
randomforest,3,7,15,20,0,3,9,0
randomforest,3,8,23,12,0,3,9,0
randomforest,3,9,24,11,0,3,9,0
randomforest,3,10,24,11,0,3,9,0
randomforest,4,1,0,19,0,14,0,14
randomforest,4,2,0,24,0,15,0,8
randomforest,4,3,0,29,0,10,0,8
randomforest,4,4,0,34,0,5,0,8
randomforest,4,5,0,34,0,5,0,8
randomforest,4,6,0,34,0,5,0,8
randomforest,4,7,15,20,0,4,0,8
randomforest,4,8,23,12,0,4,0,8
randomforest,4,9,24,11,0,4,0,8
randomforest,4,10,24,11,0,4,0,8
decisiontree,1,1,0,30,5,0,2,0
decisiontree,1,2,0,32,3,0,2,0
decisiontree,1,3,0,32,3,0,2,0
decisiontree,1,4,0,36,0,0,1,0
decisiontree,1,5,0,36,0,0,1,0
decisiontree,1,6,0,36,0,0,1,0
decisiontree,1,7,11,25,0,0,1,0
decisiontree,1,8,17,19,0,0,1,0
decisiontree,1,9,17,19,0,0,1,0
decisiontree,1,10,17,19,0,0,1,0
decisiontree,2,1,0,30,5,0,0,2
decisiontree,2,2,0,32,3,0,0,2
decisiontree,2,3,0,32,3,0,0,2
decisiontree,2,4,0,36,0,0,0,1
decisiontree,2,5,0,36,0,0,0,1
decisiontree,2,6,0,36,0,0,0,1
decisiontree,2,7,11,25,0,0,0,1
decisiontree,2,8,17,19,0,0,0,1
decisiontree,2,9,17,19,0,0,0,1
decisiontree,2,10,17,19,0,0,0,1
decisiontree,3,1,0,21,0,7,9,0
decisiontree,3,2,0,22,0,11,4,0
decisiontree,3,3,0,26,0,7,4,0
decisiontree,3,4,0,26,0,7,4,0
decisiontree,3,5,0,26,0,7,4,0
decisiontree,3,6,0,26,0,7,4,0
decisiontree,3,7,11,15,0,7,4,0
decisiontree,3,8,17,9,0,7,4,0
decisiontree,3,9,17,9,0,7,4,0
decisiontree,3,10,17,9,0,7,4,0
decisiontree,4,1,0,21,0,11,0,5
decisiontree,4,2,0,22,0,11,0,4
decisiontree,4,3,0,26,0,7,0,4
decisiontree,4,4,0,26,0,7,0,4
decisiontree,4,5,0,26,0,7,0,4
decisiontree,4,6,0,26,0,7,0,4
decisiontree,4,7,11,15,0,7,0,4
decisiontree,4,8,17,9,0,7,0,4
decisiontree,4,9,17,9,0,7,0,4
decisiontree,4,10,17,9,0,7,0,4
ir3_111bus,1,1,81,19,1,0,1,0
ir3_111bus,1,2,81,19,1,0,1,0
ir3_111bus,1,3,81,19,1,0,1,0
ir3_111bus,1,4,81,19,1,0,1,0
ir3_111bus,1,5,82,20,0,0,0,0
ir3_111bus,1,6,82,20,0,0,0,0
ir3_111bus,1,7,82,20,0,0,0,0
ir3_111bus,1,8,82,20,0,0,0,0
ir3_111bus,1,9,82,20,0,0,0,0
ir3_111bus,1,10,82,20,0,0,0,0
ir3_111bus,2,1,81,19,1,0,0,1
ir3_111bus,2,2,81,19,1,0,0,1
ir3_111bus,2,3,81,19,1,0,0,1
ir3_111bus,2,4,81,19,1,0,0,1
ir3_111bus,2,5,82,20,0,0,0,0
ir3_111bus,2,6,82,20,0,0,0,0
ir3_111bus,2,7,82,20,0,0,0,0
ir3_111bus,2,8,82,20,0,0,0,0
ir3_111bus,2,9,82,20,0,0,0,0
ir3_111bus,2,10,82,20,0,0,0,0
ir3_111bus,3,1,81,4,0,5,12,0
ir3_111bus,3,2,81,4,0,5,12,0
ir3_111bus,3,3,81,4,0,5,12,0
ir3_111bus,3,4,81,4,0,5,12,0
ir3_111bus,3,5,82,8,0,3,9,0
ir3_111bus,3,6,82,8,0,3,9,0
ir3_111bus,3,7,82,8,0,3,9,0
ir3_111bus,3,8,82,8,0,3,9,0
ir3_111bus,3,9,82,8,0,3,9,0
ir3_111bus,3,10,82,8,0,3,9,0
ir3_111bus,4,1,81,4,0,2,0,15
ir3_111bus,4,2,81,4,0,2,0,15
ir3_111bus,4,3,81,4,0,2,0,15
ir3_111bus,4,4,81,4,0,2,0,15
ir3_111bus,4,5,82,8,0,2,0,10
ir3_111bus,4,6,82,8,0,2,0,10
ir3_111bus,4,7,82,8,0,2,0,10
ir3_111bus,4,8,82,8,0,2,0,10
ir3_111bus,4,9,82,8,0,2,0,10
ir3_111bus,4,10,82,8,0,2,0,10
lu_solve,1,1,27,5,0,0,0,0
lu_solve,1,2,27,5,0,0,0,0
lu_solve,1,3,29,3,0,0,0,0
lu_solve,1,4,29,3,0,0,0,0
lu_solve,1,5,29,3,0,0,0,0
lu_solve,1,6,29,3,0,0,0,0
lu_solve,1,7,29,3,0,0,0,0
lu_solve,1,8,29,3,0,0,0,0
lu_solve,1,9,29,3,0,0,0,0
lu_solve,1,10,29,3,0,0,0,0
lu_solve,2,1,27,5,0,0,0,0
lu_solve,2,2,27,5,0,0,0,0
lu_solve,2,3,29,3,0,0,0,0
lu_solve,2,4,29,3,0,0,0,0
lu_solve,2,5,29,3,0,0,0,0
lu_solve,2,6,29,3,0,0,0,0
lu_solve,2,7,29,3,0,0,0,0
lu_solve,2,8,29,3,0,0,0,0
lu_solve,2,9,29,3,0,0,0,0
lu_solve,2,10,29,3,0,0,0,0
lu_solve,3,1,27,2,0,0,3,0
lu_solve,3,2,27,2,0,0,3,0
lu_solve,3,3,29,0,0,0,3,0
lu_solve,3,4,29,0,0,0,3,0
lu_solve,3,5,29,0,0,0,3,0
lu_solve,3,6,29,0,0,0,3,0
lu_solve,3,7,29,0,0,0,3,0
lu_solve,3,8,29,0,0,0,3,0
lu_solve,3,9,29,0,0,0,3,0
lu_solve,3,10,29,0,0,0,3,0
lu_solve,4,1,27,2,0,0,0,3
lu_solve,4,2,27,2,0,0,0,3
lu_solve,4,3,29,0,0,0,0,3
lu_solve,4,4,29,0,0,0,0,3
lu_solve,4,5,29,0,0,0,0,3
lu_solve,4,6,29,0,0,0,0,3
lu_solve,4,7,29,0,0,0,0,3
lu_solve,4,8,29,0,0,0,0,3
lu_solve,4,9,29,0,0,0,0,3
lu_solve,4,10,29,0,0,0,0,3
